"","movie_response","movie_liked_loved","movie_good_excellent","movie_disliked_hated","movie_special_unique","movie_bad_terrible","movie_low_high","movie_memorable_unforgettable"
"1","abhorred",7,0,1,0,0,0,0
"2","abhorrent",0,0,1,0,0,0,0
"3","abysmal",0,0,0,0,1,0,0
"4","acceptable",0,0,0,0,1,0,0
"5","accepting",0,0,0,0,0,0,1
"6","admirable",0,1,0,0,0,0,0
"7","admired",6,0,2,0,0,0,0
"8","adored",11,0,14,0,0,0,0
"9","adult",0,0,0,0,0,1,0
"10","alright",0,2,0,0,1,1,0
"11","amazing",2,13,0,1,17,2,5
"12","amusing",0,0,0,0,1,0,0
"13","appreciate",0,0,1,0,0,0,0
"14","appreciated",4,0,2,0,0,0,0
"15","asinine",0,1,0,0,0,0,0
"16","astonishing",0,1,0,0,0,0,0
"17","astounding",0,1,0,0,0,0,0
"18","atrocious",0,0,0,0,1,0,0
"19","attention",0,1,0,0,0,0,0
"20","average",0,12,0,13,4,11,6
"21","aversion",0,0,1,0,0,0,0
"22","awesome",0,6,0,2,9,3,1
"23","awful",0,14,1,4,15,3,2
"24","awkward",0,0,0,1,0,0,0
"25","b-plus",0,0,0,0,0,1,0
"26","bad",0,44,4,6,13,28,3
"27","banal",0,0,0,1,0,0,0
"28","basic",0,0,0,0,0,0,1
"29","better",0,0,0,0,0,3,0
"30","bizarre",0,1,0,0,0,0,0
"31","blah",0,0,0,1,0,0,1
"32","bland",0,1,0,1,0,1,3
"33","blank",0,0,0,0,0,0,1
"34","blase",0,0,0,1,0,0,0
"35","boring",0,15,1,30,6,0,30
"36","bottom",0,0,0,0,0,1,0
"37","brilliant",0,1,0,0,0,0,0
"38","brutal",0,1,0,0,0,0,0
"39","captivating",1,0,0,0,0,0,0
"40","catchy",0,0,0,0,0,0,3
"41","cheesy",0,1,0,0,0,0,0
"42","cherished",2,0,2,0,0,0,0
"43","choice",0,0,0,0,0,1,0
"44","clever",0,0,0,3,0,0,0
"45","cliche",0,0,0,5,0,0,1
"46","colorless",0,0,0,0,0,0,1
"47","common",0,0,0,14,0,0,2
"48","commonplace",0,0,0,0,0,0,1
"49","condemn",1,0,0,0,0,0,0
"50","condemned",1,0,0,0,0,0,0
"51","confusing",0,1,0,0,0,0,2
"52","cool",0,1,0,0,0,0,0
"53","crappy",0,0,0,0,0,1,0
"54","crazy",0,0,0,1,0,1,0
"55","creepy",0,0,0,0,0,0,1
"56","cursed",0,0,1,0,0,0,0
"57","dark",0,0,0,1,0,0,0
"58","decent",0,2,0,1,2,2,0
"59","derivative",0,0,0,2,0,0,1
"60","desired",0,0,1,0,0,0,0
"61","despised",18,0,11,0,0,0,0
"62","detest",0,0,2,0,0,0,0
"63","detestable",0,0,0,0,2,0,0
"64","detested",7,0,9,0,0,0,0
"65","devised",1,0,0,0,0,0,0
"66","different",0,0,0,13,0,1,3
"67","disapproved",1,0,1,0,0,0,0
"68","disastrous",0,0,0,0,2,1,0
"69","discussed",1,0,0,0,0,0,0
"70","disfavor",2,0,0,0,0,0,0
"71","disgusting",0,2,0,1,0,0,0
"72","dislike",0,0,1,0,0,0,0
"73","disliked",48,0,11,0,1,0,0
"74","dismal",0,0,0,0,0,1,0
"75","disregarded",0,0,2,0,0,0,0
"76","dissatisfactory",0,0,0,0,0,1,0
"77","distasteful",0,0,1,1,0,0,0
"78","distinct",0,0,0,1,0,0,0
"79","dramatic",0,0,0,1,0,0,0
"80","dreadful",0,0,0,0,3,0,0
"81","dug",0,0,1,0,0,0,0
"82","dull",0,3,0,14,1,0,11
"83","dumb",0,1,0,0,2,0,3
"84","endearing",0,0,0,0,0,0,1
"85","endured",0,0,1,0,0,0,0
"86","enjoyable",1,5,0,0,4,0,1
"87","enjoyed",22,0,38,0,0,0,0
"88","enjoyed.",0,0,1,0,0,0,0
"89","entertained",1,0,0,0,0,0,0
"90","entertaining",0,0,0,0,3,0,0
"91","enticing",1,0,0,0,0,0,0
"92","epic",0,0,0,0,0,0,1
"93","escalated",0,0,0,0,0,1,0
"94","everyday",0,0,0,1,0,0,0
"95","excellent",0,5,0,3,11,6,2
"96","exceptional",0,1,0,0,0,0,0
"97","exciting",0,0,0,2,1,0,3
"98","exclusive",0,0,0,1,0,0,0
"99","exemplary",0,1,0,0,0,0,0
"100","exotic",0,0,0,1,0,0,0
"101","expected",0,0,0,2,0,0,0
"102","extraordinary",0,0,0,2,0,0,1
"103","fair",0,2,0,0,1,4,0
"104","fancied",2,0,1,0,0,0,0
"105","fantastic",0,7,0,0,5,2,2
"106","fascinating",0,0,0,1,0,0,0
"107","favorable",0,0,0,1,0,5,0
"108","favored",3,0,1,0,0,0,0
"109","fawned",1,0,0,0,0,0,0
"110","fine",0,0,0,0,1,0,0
"111","five-star",0,0,0,0,0,2,0
"112","fleeting",0,0,0,0,0,0,1
"113","forgetful",0,0,0,0,0,0,1
"114","forgettable",0,2,0,2,0,0,54
"115","forgot",2,0,0,0,0,0,0
"116","formulaic",0,0,0,1,0,0,1
"117","foul",0,1,0,0,0,0,0
"118","friendly",0,0,0,0,1,0,0
"119","fun",0,0,0,0,2,0,0
"120","funny",0,0,0,1,3,0,1
"121","generic",0,0,0,1,0,0,2
"122","generous",0,0,0,0,0,1,0
"123","good",4,4,0,6,39,16,6
"124","grand",0,1,0,1,0,0,0
"125","great",0,20,0,7,35,14,6
"126","gross",0,1,0,0,0,0,0
"127","happy",1,0,0,0,0,0,0
"128","hated",66,0,23,0,3,0,0
"129","hatted",1,0,0,0,0,0,0
"130","haunting",0,0,0,0,0,0,3
"131","heartfelt",0,0,0,1,0,0,0
"132","heartwarming",0,0,0,0,1,0,0
"133","heavenly",0,0,0,1,0,0,0
"134","hideous",0,0,0,0,1,0,0
"135","high",0,1,0,0,0,29,0
"136","higher",0,0,0,0,0,5,0
"137","hilarious",0,1,0,0,0,0,0
"138","horrible",0,15,2,2,19,5,1
"139","horrid",0,0,0,0,2,0,0
"140","horrific",0,0,0,0,1,0,0
"141","idiotic",0,0,0,1,0,0,0
"142","idolized",1,0,1,0,0,0,0
"143","ignored",1,0,0,0,0,0,0
"144","immaculate",0,0,0,0,0,1,0
"145","incredible",1,1,0,1,3,0,2
"146","indelible",0,0,0,0,0,0,1
"147","indescribable",0,0,0,0,0,0,1
"148","indie",0,0,0,1,0,0,0
"149","individual",0,0,0,1,0,0,0
"150","inferior",0,1,0,0,0,1,0
"151","insightful",0,0,0,0,0,0,1
"152","insignificant",0,0,0,0,0,0,1
"153","inspirational",0,0,0,0,1,0,0
"154","inspiring",0,1,0,1,2,0,1
"155","interesting",1,3,0,3,2,1,5
"156","intolerable",0,0,0,1,0,0,0
"157","intriguing",0,0,0,1,0,0,1
"158","killer",0,0,0,0,0,1,0
"159","leading",0,0,0,0,0,1,0
"160","legendary",0,0,0,0,0,0,2
"161","likable",0,1,0,0,0,0,0
"162","liked",15,0,59,0,0,0,0
"163","loathe",1,0,1,0,0,0,0
"164","loathed",23,0,10,0,0,0,0
"165","loathsome",0,0,0,0,1,0,0
"166","long",0,0,0,1,0,0,0
"167","lousy",0,1,0,0,4,2,2
"168","loved",17,0,65,0,0,0,0
"169","low",0,0,0,0,1,36,0
"170","lower",0,0,0,0,0,3,0
"171","magical",0,0,0,0,0,0,1
"172","magnificent",0,1,0,0,0,0,0
"173","marvelous",0,3,0,0,1,0,0
"174","meager",0,0,0,0,0,1,0
"175","meaningful",0,0,0,1,0,0,0
"176","mediocre",0,2,0,5,1,6,0
"177","medium",0,0,0,0,0,1,0
"178","meh",0,1,0,0,0,0,0
"179","memorable",0,1,0,2,1,0,17
"180","memories",0,0,0,1,0,0,0
"181","mentionable",0,0,0,0,0,0,1
"182","mesmerizing",0,0,0,1,0,0,1
"183","mild",0,0,0,0,0,1,0
"184","mind-blowing",0,0,0,1,0,0,0
"185","miniscule",0,0,0,0,0,1,0
"186","miserable",0,0,0,0,1,0,0
"187","misunderstood",0,0,1,0,0,0,0
"188","moments",0,0,0,0,0,0,1
"189","monumental",0,0,0,0,0,1,0
"190","moral",0,0,0,0,0,1,0
"191","mundane",0,0,0,3,1,0,2
"192","nasty",0,0,0,0,1,0,0
"193","nauseating",0,0,0,1,0,0,0
"194","negative",0,0,1,0,2,4,0
"195","nice",0,1,0,0,2,0,0
"196","non-entertaining",0,0,0,0,0,0,1
"197","nonsense",0,0,0,0,0,1,0
"198","normal",0,0,0,3,0,0,2
"199","notable",0,0,0,2,0,0,0
"200","noteworthy",0,0,0,1,0,0,2
"201","odd",0,0,0,4,0,0,0
"202","ok",0,2,0,0,0,0,0
"203","okay",1,5,0,0,4,0,0
"204","one-star",0,0,0,0,0,1,0
"205","ordinary",0,0,0,8,0,0,2
"206","original",0,0,0,3,0,0,1
"207","oscar-worthy",0,0,0,0,0,0,1
"208","outlandish",0,1,0,0,0,0,0
"209","outstanding",0,1,0,1,2,3,2
"210","paltry",0,0,0,0,0,1,0
"211","passable",0,0,0,0,0,0,1
"212","passionate",0,0,0,1,0,0,0
"213","pathetic",0,1,0,0,1,0,0
"214","peculiar",0,0,0,2,0,0,0
"215","pedestrian",0,0,0,0,0,0,1
"216","perceptive",0,0,0,0,0,0,1
"217","perfect",0,1,0,0,0,2,0
"218","pg",0,0,0,0,0,1,0
"219","plain",0,0,0,0,0,0,2
"220","pleasant",0,2,0,0,0,0,1
"221","pleased",1,0,0,0,0,0,0
"222","poignant",0,0,0,1,0,0,0
"223","poor",0,9,2,2,2,19,0
"224","popular",0,0,0,0,0,1,0
"225","positive",0,3,0,0,0,5,0
"226","preferred",1,0,0,0,0,0,0
"227","prominent",0,0,0,0,0,1,0
"228","provocative",0,0,0,0,0,0,1
"229","purposeful",0,0,0,0,0,0,1
"230","quality",0,1,0,1,1,2,1
"231","quirky",0,0,0,1,0,0,0
"232","r",0,0,0,0,0,1,0
"233","rare",0,0,0,4,0,0,1
"234","recommended",2,0,0,0,0,0,0
"235","redundant",0,0,0,1,0,0,0
"236","rejected",0,0,1,0,0,0,0
"237","relatable",0,0,0,1,0,0,0
"238","relevant",0,0,0,1,0,0,0
"239","relished",1,0,0,0,0,0,0
"240","remarkable",0,1,0,1,0,0,3
"241","repeated",0,0,0,1,0,0,0
"242","repetitive",0,1,0,1,0,0,1
"243","resented",2,0,0,0,0,0,0
"244","respected",2,0,1,0,0,0,0
"245","respectful",0,0,0,0,0,1,0
"246","revolutionary",0,0,0,0,0,0,1
"247","ridiculous",0,0,0,0,1,1,0
"248","romantic",0,0,0,1,0,0,0
"249","rotten",0,1,0,0,0,0,0
"250","same",0,0,0,2,0,0,0
"251","savored",1,0,0,0,0,0,0
"252","saw",1,0,0,0,0,0,0
"253","scorned",0,0,2,0,0,0,0
"254","second-rate",0,0,0,0,1,0,1
"255","senseless",0,0,0,1,0,0,0
"256","sentimental",0,0,0,0,0,0,1
"257","shocking",0,0,0,0,0,0,1
"258","significant",0,0,0,1,0,0,0
"259","silly",0,1,0,2,0,0,0
"260","similar",0,0,0,1,0,0,1
"261","simple",0,0,0,1,0,0,0
"262","slow",0,2,0,1,1,0,1
"263","smart",0,0,0,0,0,0,1
"264","something",0,0,0,1,0,0,0
"265","soso",0,0,0,0,0,1,0
"266","special",0,0,0,11,1,0,7
"267","spectacular",0,0,0,0,1,1,0
"268","splendid",1,1,0,0,0,0,1
"269","standard",0,0,0,1,0,0,1
"270","stellar",0,0,0,0,0,3,0
"271","stereotypical",0,0,0,1,0,0,0
"272","strange",0,0,0,2,0,0,2
"273","striking",0,0,0,0,0,0,1
"274","strong",0,0,0,0,0,1,0
"275","stupendous",0,0,0,0,1,1,0
"276","stupid",0,3,0,5,1,0,1
"277","subpar",0,1,0,0,2,2,0
"278","substandard",0,0,0,0,0,1,0
"279","sucky",0,1,0,0,0,0,0
"280","suffered",0,0,1,0,0,0,0
"281","superb",0,2,0,0,1,2,0
"282","superior",0,0,0,1,0,1,0
"283","survived",1,0,1,0,0,0,0
"284","terrible",0,28,3,3,10,10,6
"285","terrific",1,1,0,0,3,1,1
"286","thoughtful",0,1,0,4,0,0,2
"287","thrilling",0,1,0,0,0,0,1
"288","thumbs-down",0,0,0,0,0,2,0
"289","thumbs-up",0,0,0,0,0,2,0
"290","tiresome",0,0,0,1,0,0,2
"291","tolerable",0,0,0,0,2,0,0
"292","tolerated",2,0,0,0,0,0,0
"293","top",0,0,0,0,0,5,0
"294","top-notch",0,0,0,0,1,0,0
"295","trite",0,0,0,1,0,0,0
"296","typical",0,0,0,8,0,0,0
"297","ugh",0,0,1,0,0,0,0
"298","ugly",0,1,0,0,0,1,0
"299","unacceptable",0,0,0,0,2,0,0
"300","unbiased",0,0,0,0,0,1,0
"301","uncared",0,0,1,0,0,0,0
"302","uncommon",0,0,0,1,0,0,0
"303","understood",1,0,0,0,0,0,0
"304","undeserved",0,0,0,0,0,1,0
"305","undesirable",0,0,0,0,1,0,0
"306","unextraordinary",0,0,0,1,0,0,0
"307","unfavorable",0,1,1,0,0,3,0
"308","unfavored",1,0,0,0,0,0,0
"309","unforgettable",1,0,0,0,2,0,3
"310","unimpressive",0,1,0,0,0,0,0
"311","uninspired",0,0,0,0,0,0,1
"312","uninspiring",0,0,0,0,0,0,2
"313","uninteresting",0,1,0,2,2,0,2
"314","unique",0,0,0,14,0,0,13
"315","unlikable",0,1,0,0,0,0,0
"316","unliked",0,0,1,0,0,0,0
"317","unmemorable",0,1,0,0,0,0,2
"318","unnoteworthy",0,0,0,0,0,0,1
"319","unoriginal",0,0,0,2,0,0,0
"320","unpleasant",0,0,1,0,1,0,0
"321","unrecallable",0,0,0,0,0,0,1
"322","unremarkable",0,0,0,0,0,0,4
"323","unsavored",0,0,1,0,0,0,0
"324","unusual",0,0,0,4,0,0,0
"325","unwatchable",0,1,1,0,0,0,0
"326","uplifting",0,0,0,0,1,0,0
"327","valued",0,0,1,0,0,0,0
"328","vilified",0,0,1,0,0,0,0
"329","wasted",0,0,1,0,0,0,0
"330","weird",0,1,0,2,0,0,0
"331","wonderful",0,10,0,2,14,2,3
"332","worse",0,0,0,0,0,1,0
"333","worshiped",1,0,0,0,0,0,0
"334","worshipped",1,0,0,0,0,0,0
"335","worst",0,0,1,0,1,0,0
"336","worthless",0,0,0,0,1,0,0
"337","worthwhile",0,1,0,1,0,0,0
"338","worthy",0,0,0,0,0,0,1
"339","yuck",0,0,2,0,0,0,0
"340","zero",0,0,0,0,0,2,0
