"","play_response","play_liked_loved","play_good_excellent","play_disliked_hated","play_special_unique","play_bad_terrible","play_low_high","play_memorable_unforgettable"
"1","abhor",0,0,1,0,0,0,0
"2","abhorred",2,0,6,0,0,0,0
"3","abhorrent",0,1,0,0,1,0,0
"4","abominated",0,0,1,0,0,0,0
"5","absorbed",1,0,0,0,0,0,0
"6","abysmal",0,2,0,0,1,3,0
"7","acceptable",0,2,0,0,1,0,0
"8","adequate",0,1,0,0,0,0,0
"9","admire",1,0,0,0,0,0,0
"10","admired",11,0,2,0,0,0,0
"11","adored",12,0,22,0,0,0,0
"12","adventurous",0,0,0,0,1,0,0
"13","agreeable",1,0,0,0,0,0,0
"14","alone",0,0,0,1,0,0,0
"15","alright",0,1,0,1,1,0,1
"16","amateurish",0,0,0,0,1,0,0
"17","amazing",0,10,0,2,7,2,1
"18","appalling",0,0,0,0,1,0,0
"19","applaudable",0,0,0,0,0,1,0
"20","appreciated",6,0,0,0,0,0,0
"21","approve",0,0,1,0,0,0,0
"22","art",0,0,0,1,0,0,0
"23","astonishing",0,1,0,0,0,0,0
"24","astounding",0,1,0,0,0,1,1
"25","ate",0,0,1,0,0,0,0
"26","atrocious",0,1,0,0,1,1,0
"27","average",0,3,0,12,1,9,7
"28","avoided",0,0,1,0,0,0,0
"29","awe-inspiring",1,0,0,0,0,0,0
"30","awesome",1,1,0,1,9,0,1
"31","awful",0,14,0,0,18,1,3
"32","bad",0,30,0,0,13,32,2
"33","balderdash",0,0,0,0,1,0,0
"34","baseless",0,0,0,0,0,0,1
"35","best",0,0,0,0,1,2,0
"36","better",0,0,0,0,0,4,0
"37","big",0,0,0,0,0,1,0
"38","bland",0,2,0,3,0,0,4
"39","boring",0,16,0,18,4,0,24
"40","bottom",0,0,0,0,0,2,0
"41","brilliant",0,3,0,0,0,0,0
"42","burned",0,0,1,0,0,0,0
"43","catchy",0,0,0,0,0,0,6
"44","challenging",0,1,0,0,0,0,0
"45","cherished",11,0,5,0,0,0,0
"46","childish",0,1,0,0,1,0,0
"47","classic",0,0,0,1,0,0,2
"48","classy",0,1,0,0,0,0,0
"49","cliche",0,0,0,3,1,0,0
"50","clumsy",0,0,0,0,1,0,0
"51","commended",0,0,1,0,0,0,0
"52","common",0,1,0,10,0,0,3
"53","commonplace",0,0,0,3,0,0,0
"54","compelling",0,1,0,0,0,0,1
"55","condescending",0,0,0,0,0,0,1
"56","confusing",0,1,0,0,0,0,0
"57","consumed",0,0,1,0,0,0,0
"58","contradictory",0,0,0,0,1,0,0
"59","controversial",0,1,0,0,0,0,0
"60","conventional",0,0,0,2,0,0,0
"61","cool",0,1,0,0,0,0,0
"62","copycat",0,0,0,1,0,0,0
"63","cosmic",0,1,0,0,0,0,0
"64","crap",0,0,0,0,2,0,0
"65","crappy",0,2,0,0,2,2,0
"66","creative",0,0,0,1,0,0,0
"67","crude",0,1,0,0,0,0,0
"68","crummy",0,1,0,0,2,0,1
"69","cursed",0,0,1,0,0,0,0
"70","decent",0,3,0,2,1,2,0
"71","deep",0,0,0,0,0,0,1
"72","delightful",0,1,0,0,0,0,0
"73","deplorable",0,0,0,0,2,0,0
"74","deplored",0,0,3,0,0,0,0
"75","derivative",0,0,0,1,0,0,0
"76","deserving",0,0,0,0,1,0,0
"77","despise",0,0,1,0,0,0,0
"78","despised",18,0,22,0,0,0,0
"79","detest",1,0,1,0,0,0,0
"80","detested",7,0,4,0,0,0,0
"81","devoured",3,0,0,0,0,0,0
"82","different",0,0,0,21,0,2,0
"83","difficult",0,0,0,0,1,0,0
"84","disapproved",0,0,3,0,0,0,0
"85","disastrous",0,0,0,0,1,0,0
"86","disdained",1,0,1,0,0,0,0
"87","disfavored",0,0,3,0,0,0,0
"88","disgusted",0,0,2,0,0,0,0
"89","disgusting",0,1,0,0,1,0,0
"90","disliked",38,0,16,0,0,0,0
"91","dismal",0,0,0,0,0,1,0
"92","dismissible",0,0,0,0,0,0,1
"93","disposable",0,0,0,1,0,0,0
"94","disrespected",0,0,1,0,0,0,0
"95","distaste",0,0,1,0,0,0,0
"96","distinct",0,0,0,3,0,0,0
"97","distinctive",0,0,0,3,0,0,1
"98","distinguished",0,1,0,0,0,0,1
"99","doubtful",0,0,0,1,0,0,0
"100","dreadful",0,2,1,0,4,0,0
"101","dreary",0,0,0,0,0,0,1
"102","dull",0,5,0,5,3,0,4
"103","dumb",0,0,0,1,0,0,0
"104","dynamic",0,0,0,0,0,0,1
"105","embarrassing",0,0,0,0,0,1,0
"106","enamoured",1,0,0,0,0,0,0
"107","endeared",0,0,1,0,0,0,0
"108","endured",1,0,0,0,0,0,0
"109","enduring",0,0,0,0,0,0,3
"110","engaging",0,0,0,0,0,0,1
"111","enjoyable",0,6,0,0,4,0,2
"112","enjoyed",26,0,24,0,0,0,0
"113","enveloped",1,0,0,0,0,0,0
"114","ephemeral",0,0,0,0,0,0,1
"115","epic",0,1,0,0,0,0,0
"116","epitome",0,1,0,0,0,0,0
"117","epochal",0,0,0,1,0,0,0
"118","esteem",1,0,0,0,0,0,0
"119","eternal",0,0,0,0,0,0,1
"120","eventful",0,0,0,0,0,0,3
"121","excellent",0,2,0,2,9,12,2
"122","exceptional",0,1,0,7,0,1,5
"123","exciting",0,1,0,3,2,0,3
"124","exclusive",0,0,0,5,0,0,0
"125","exotic",0,0,0,1,0,0,0
"126","exquisite",0,0,0,1,0,0,0
"127","extraordinary",0,3,0,5,1,0,3
"128","extreme",0,0,0,1,0,0,0
"129","eye-catching",0,0,0,0,1,0,0
"130","fair",0,0,0,2,0,2,0
"131","familiar",0,0,0,3,0,0,0
"132","fancied",1,0,1,0,0,0,0
"133","fantastic",0,5,0,0,5,2,2
"134","fascinating",0,0,0,1,0,0,0
"135","faulty",0,1,0,0,0,0,0
"136","favorable",0,0,0,0,0,3,0
"137","favored",2,0,0,0,0,0,0
"138","fine",0,5,0,0,0,0,0
"139","five-star",0,0,0,0,0,1,0
"140","flat",0,0,0,1,0,0,0
"141","fodder",0,0,0,1,0,0,0
"142","forgetful",0,0,0,0,0,0,3
"143","forgettable",0,0,0,2,0,0,39
"144","forgot",1,0,0,0,0,0,0
"145","formative",0,0,0,1,0,0,1
"146","friended",1,0,0,0,0,0,0
"147","fun",0,0,0,0,1,0,1
"148","funny",0,2,0,0,2,0,0
"149","garbage",0,1,0,0,5,0,0
"150","generic",0,0,0,3,0,0,0
"151","ghastly",0,0,0,0,3,0,0
"152","gibberish",0,0,0,0,1,0,0
"153","golden",0,0,0,1,0,0,0
"154","gone",0,0,0,1,0,0,0
"155","good",0,4,0,3,28,28,3
"156","great",0,22,0,2,31,15,8
"157","gripping",0,1,0,0,0,0,0
"158","gritty",0,0,0,0,1,0,0
"159","grokked",1,0,0,0,0,0,0
"160","happy",0,1,0,0,0,0,1
"161","hated",61,1,27,0,0,0,0
"162","haunting",0,0,0,0,0,0,1
"163","hideous",0,0,0,0,2,0,0
"164","high",0,2,0,0,0,26,0
"165","higher",0,0,0,0,0,2,0
"166","historic",0,0,0,0,0,0,1
"167","honest",0,0,0,0,0,1,0
"168","honored",1,0,0,0,0,0,0
"169","horrendous",0,0,0,0,2,0,0
"170","horrible",0,6,0,0,14,3,2
"171","horrid",0,3,0,0,1,0,0
"172","horrific",0,1,0,0,0,0,0
"173","hugged",1,0,0,0,0,0,0
"174","humbling",0,0,0,1,0,0,0
"175","hypnotic",0,0,0,0,0,0,1
"176","icky",0,0,0,0,0,0,1
"177","iconic",0,0,0,1,0,0,0
"178","idolized",0,0,1,0,0,0,0
"179","ignored",0,0,1,0,0,0,0
"180","impactful",0,0,0,0,0,0,1
"181","important",0,0,0,0,0,0,1
"182","impressionable",0,0,0,0,0,0,1
"183","impressive",0,0,0,0,0,0,3
"184","inadequate",0,0,0,0,1,0,0
"185","incomprehensible",0,0,0,0,1,0,0
"186","incredible",0,1,0,0,3,0,0
"187","indelible",0,0,0,0,0,0,3
"188","inferior",0,0,0,0,1,2,0
"189","insightful",0,0,0,0,1,0,0
"190","insignificant",0,0,0,2,0,0,1
"191","inspiring",0,0,0,2,1,0,1
"192","instinctual",0,0,0,0,0,0,1
"193","intense",0,0,0,0,0,0,1
"194","interesting",0,4,0,8,6,0,4
"195","intriguing",0,1,0,1,1,0,0
"196","irresponsible",0,1,0,0,0,0,0
"197","joyful",0,0,0,0,0,0,1
"198","junk",0,0,0,0,1,0,0
"199","lame",0,1,0,1,2,1,0
"200","lamented",1,0,0,0,0,0,0
"201","large",0,0,0,0,0,1,0
"202","lasting",0,0,0,0,0,0,2
"203","lesser",0,0,0,0,0,1,0
"204","likable",0,1,0,0,0,0,0
"205","liked",19,0,44,0,0,0,0
"206","limited",0,0,0,1,0,0,0
"207","lively",0,0,0,0,1,0,0
"208","loathe",0,0,1,0,0,0,0
"209","loathed",21,0,18,0,0,0,0
"210","loathsome",0,1,0,0,0,0,1
"211","long-winded",0,1,0,0,0,0,0
"212","lousy",0,1,0,0,1,0,0
"213","lovable",0,0,0,0,0,0,1
"214","love",0,0,2,0,0,0,0
"215","loved",23,0,51,0,0,0,0
"216","lovely",0,1,0,0,0,0,0
"217","low",0,0,0,0,0,36,0
"218","lower",0,0,0,0,0,2,0
"219","lowly",0,0,0,0,1,1,0
"220","magical",0,0,0,0,0,0,1
"221","magnificent",1,2,0,0,0,0,0
"222","marvelous",0,1,0,0,0,0,0
"223","meager",0,0,0,0,0,1,0
"224","meaningful",0,1,0,0,0,0,3
"225","meaningless",0,1,0,1,0,0,1
"226","mediocre",0,5,0,2,0,10,2
"227","medium",0,0,0,0,0,1,0
"228","memorable",0,1,0,8,1,0,20
"229","middling",0,0,0,0,0,1,0
"230","miniscule",0,0,0,0,0,1,0
"231","misjudged",0,0,1,0,0,0,0
"232","moderate",0,0,0,0,0,2,0
"233","monumental",0,1,0,0,0,0,1
"234","moving",0,0,0,0,1,0,0
"235","mundane",0,0,0,4,0,0,2
"236","mystical",0,0,0,1,0,0,0
"237","neat",0,0,0,1,0,0,0
"238","needed",0,0,2,0,0,0,0
"239","negative",0,1,0,0,1,9,0
"240","neutral",0,0,0,1,0,1,0
"241","new",0,0,0,1,0,1,0
"242","nice",0,3,0,1,0,0,0
"243","normal",0,0,0,7,0,0,4
"244","notable",0,0,0,1,0,0,4
"245","noteworthy",0,0,0,1,0,0,1
"246","ok",0,1,0,0,1,0,1
"247","okay",0,3,0,0,3,0,2
"248","old",0,0,0,1,0,0,0
"249","one-of-a-kind",0,0,0,2,0,0,0
"250","ordinary",0,0,0,12,0,0,7
"251","original",0,0,0,1,0,0,0
"252","otherworldly",0,0,0,1,0,0,0
"253","outstanding",0,2,0,0,1,3,0
"254","overdone",0,0,0,0,0,0,1
"255","overpriced",0,0,0,0,1,0,0
"256","overrated",0,2,0,0,0,0,0
"257","particular",0,0,0,1,0,0,0
"258","pathetic",0,1,0,0,0,0,0
"259","pedestrian",0,0,0,1,0,0,1
"260","perfect",0,1,0,0,4,3,1
"261","petty",0,0,0,0,0,0,1
"262","phenomenal",0,0,0,0,0,1,0
"263","plain",0,0,0,1,1,0,1
"264","pleasurable",0,1,0,0,0,0,0
"265","pointless",0,2,0,0,0,0,0
"266","poor",0,8,0,0,5,15,0
"267","positive",0,2,0,0,1,7,0
"268","praised",1,0,1,0,0,0,0
"269","precious",0,0,0,1,0,0,0
"270","preferred",1,0,0,0,0,0,0
"271","priceless",0,1,0,0,1,0,0
"272","primary",0,0,0,0,0,0,1
"273","prime",0,1,0,0,0,0,0
"274","pristine",0,0,0,0,0,1,0
"275","prized",1,0,1,0,0,0,0
"276","provocative",0,0,0,0,1,0,0
"277","putrid",0,0,0,0,1,0,0
"278","quality",0,0,0,0,0,1,0
"279","rad",0,1,0,1,0,0,0
"280","rare",0,0,0,8,0,0,0
"281","ravishing",0,0,0,0,0,0,1
"282","read",0,0,1,0,0,0,0
"283","redundant",0,0,0,1,0,0,0
"284","regretted",0,0,1,0,0,0,0
"285","regular",0,0,0,2,0,0,1
"286","rejected",1,0,1,0,0,0,0
"287","relished",0,0,1,0,0,0,0
"288","remarkable",0,2,0,1,1,0,5
"289","repugnant",0,0,1,0,0,0,0
"290","repulsed",0,0,1,0,0,0,0
"291","reread",0,0,1,0,0,0,0
"292","resent",2,0,0,0,0,0,0
"293","resented",0,0,2,0,0,0,0
"294","respect",1,0,0,0,0,0,0
"295","respected",3,0,0,0,0,0,0
"296","revered",0,0,1,0,0,0,0
"297","reviled",0,0,2,0,0,0,0
"298","ridiculous",0,0,0,0,2,0,0
"299","ripped",1,0,0,0,0,0,0
"300","routine",0,0,0,1,0,0,0
"301","run-of-the-mill",0,0,0,2,0,0,1
"302","sad",0,0,0,1,0,0,0
"303","satisfactory",0,1,0,0,0,0,0
"304","satisfying",0,2,0,0,1,0,0
"305","savored",1,0,0,0,0,0,0
"306","scathing",0,0,0,0,0,1,0
"307","scorned",0,0,2,0,0,0,0
"308","second-rate",0,1,0,0,0,0,0
"309","shit",0,0,0,0,0,1,0
"310","shitty",0,0,0,0,1,0,0
"311","shunned",0,0,1,0,0,0,0
"312","sickening",0,0,1,0,0,0,0
"313","significant",0,0,0,2,1,0,0
"314","silly",0,2,0,0,0,0,0
"315","similar",0,0,0,3,0,0,0
"316","simple",0,0,0,2,0,0,0
"317","simplistic",0,1,0,0,0,0,0
"318","slow",0,2,0,0,0,0,1
"319","sophisticated",0,0,0,1,0,0,0
"320","soso",0,1,0,0,0,0,0
"321","special",0,1,0,9,1,0,2
"322","spectacular",0,1,0,0,1,0,1
"323","splendid",0,0,0,0,1,0,0
"324","standard",0,0,0,1,0,0,0
"325","standout",0,0,0,1,0,0,0
"326","stellar",0,2,0,0,0,3,1
"327","stirring",0,0,0,0,0,0,1
"328","striking",0,0,0,0,0,0,1
"329","stupendous",0,2,0,0,2,0,0
"330","stupid",0,0,0,1,2,0,1
"331","sub",0,0,0,0,0,1,0
"332","sucky",0,2,0,0,0,0,0
"333","sufficient",0,0,0,0,0,1,0
"334","super",0,1,0,0,0,0,0
"335","superb",0,1,0,1,1,1,0
"336","superior",0,2,0,0,0,0,0
"337","superlative",0,1,0,0,0,0,0
"338","suspenseful",0,0,0,1,0,0,0
"339","sweet",0,1,0,0,0,0,0
"340","tedious",0,1,0,0,0,0,1
"341","ten",0,0,0,0,0,1,0
"342","tender",0,0,0,1,0,0,0
"343","terrible",0,12,0,0,10,12,3
"344","terrific",0,0,0,0,1,3,0
"345","thoughtful",0,0,0,0,0,0,2
"346","threw",1,0,0,0,0,0,0
"347","thrilling",0,0,0,0,0,0,1
"348","timeless",0,0,0,0,0,0,1
"349","tolerated",1,0,1,0,0,0,0
"350","top",0,0,0,0,0,4,0
"351","transcendent",0,0,0,0,0,0,1
"352","trash",0,2,0,0,1,0,0
"353","treasured",3,0,0,0,0,0,0
"354","tremendous",0,1,0,0,0,0,0
"355","trite",0,0,0,1,0,0,0
"356","trivial",0,1,0,1,0,0,1
"357","typical",0,0,0,5,0,0,0
"358","ugly",0,1,0,0,1,0,0
"359","unacceptable",0,0,0,0,1,0,0
"360","unamerican",0,1,0,0,0,0,0
"361","unappreciated",0,0,1,0,0,0,0
"362","unbelievable",0,0,0,1,0,0,0
"363","uncommon",0,0,0,3,0,0,0
"364","uncomplicated",0,0,0,0,1,0,0
"365","uncompromising",0,0,0,0,0,0,1
"366","underwhelming",0,0,0,1,0,0,0
"367","unenjoyable",0,1,0,0,0,0,0
"368","uneventful",0,0,0,0,0,0,2
"369","unfavorable",0,0,0,0,0,3,1
"370","unflinching",0,0,0,0,0,0,1
"371","unforgettable",0,1,0,3,0,0,10
"372","unfortunate",0,0,0,0,1,0,0
"373","unimaginable",0,0,0,0,1,0,0
"374","unimportant",0,0,0,1,0,0,1
"375","unimpressive",0,0,0,0,1,0,1
"376","uninspired",0,0,0,1,0,0,1
"377","uninspiring",0,0,0,1,0,0,1
"378","uninteresting",0,1,0,0,0,0,1
"379","unique",0,1,0,16,1,0,6
"380","unliked",0,0,1,0,0,0,0
"381","unmemorable",0,0,0,0,0,0,4
"382","unmoving",0,0,0,0,0,0,1
"383","unordinary",0,0,0,1,0,0,0
"384","unoriginal",0,0,0,2,0,0,0
"385","unpleasant",0,0,0,0,1,0,0
"386","unremarkable",0,0,0,2,0,0,2
"387","unsatisfying",0,0,0,0,1,0,0
"388","unusual",0,0,0,2,0,0,0
"389","upheld",1,0,0,0,0,0,0
"390","useless",0,1,0,1,1,0,0
"391","vacuous",0,0,0,0,1,0,0
"392","verbose",0,0,0,0,1,0,1
"393","vibrant",0,0,0,0,0,0,1
"394","vip",0,0,0,1,0,0,0
"395","vital",0,0,0,0,0,0,1
"396","wanted",0,0,2,0,0,0,0
"397","wasteful",0,0,0,0,0,0,1
"398","weak",0,0,0,0,0,1,0
"399","weird",0,0,0,1,0,0,0
"400","well-written",0,0,0,1,0,0,0
"401","woeful",0,0,0,0,1,0,0
"402","wonderful",0,7,0,2,17,1,3
"403","worse",0,0,0,0,0,1,0
"404","worshiped",1,0,0,0,0,0,0
"405","worshipped",2,0,0,0,0,0,0
"406","worst",0,0,0,0,0,1,0
"407","worthless",0,2,0,1,0,0,0
"408","worthy",0,1,0,0,0,0,0
"409","wretched",0,0,0,0,1,0,0
