"","restaurant_response","restaurant_liked_loved","restaurant_good_excellent","restaurant_disliked_hated","restaurant_special_unique","restaurant_bad_terrible","restaurant_low_high","restaurant_memorable_unforgettable"
"1","abhorred",10,0,8,0,0,0,0
"2","above",0,0,0,0,0,1,0
"3","absorbed",0,0,1,0,0,0,0
"4","abysmal",0,1,0,0,0,0,0
"5","acceptable",0,1,0,1,2,0,0
"6","accomplished",0,0,0,1,0,0,0
"7","adequate",0,0,0,0,0,1,0
"8","admired",6,0,2,0,0,0,0
"9","adored",7,0,12,0,0,0,0
"10","allstar",0,0,0,0,0,1,0
"11","alone",0,0,0,1,0,0,0
"12","alright",0,3,0,2,0,0,2
"13","amazing",0,5,0,2,10,1,3
"14","annoying",0,0,1,0,0,0,0
"15","appalling",0,1,0,0,1,0,0
"16","appreciated",2,0,4,0,0,0,0
"17","approved",0,0,1,0,0,0,0
"18","astounding",0,0,0,0,0,1,0
"19","atrocious",0,1,0,0,0,0,0
"20","average",0,7,0,14,2,7,4
"21","avoided",2,0,1,0,0,0,0
"22","awesome",0,6,0,2,16,1,2
"23","awful",0,18,0,2,10,2,1
"24","bad",0,43,0,4,9,25,3
"25","banal",0,0,0,1,0,0,0
"26","bashed",0,0,1,0,0,0,0
"27","basic",0,0,0,0,0,0,1
"28","below",0,0,0,0,0,1,0
"29","better",0,1,0,0,1,3,0
"30","blah",0,0,0,0,0,0,1
"31","bland",0,2,0,11,1,0,7
"32","blech",0,1,0,0,0,0,0
"33","blew",0,0,1,0,0,0,0
"34","boring",1,2,0,21,0,0,19
"35","bueno",0,1,0,0,0,0,0
"36","busy",0,1,0,0,0,0,0
"37","catchy",0,0,0,0,0,0,1
"38","celebrated",0,0,1,0,0,0,0
"39","characterless",0,0,0,0,0,0,1
"40","charming",0,0,0,0,0,0,1
"41","cheap",0,0,0,1,0,0,0
"42","cherished",0,0,2,0,0,0,0
"43","chided",0,0,1,0,0,0,0
"44","classic",0,0,0,3,0,0,0
"45","clean",0,0,0,0,0,0,1
"46","cliche",0,0,0,2,0,0,1
"47","cold",0,0,0,0,0,0,1
"48","comfortable",0,0,0,0,1,0,0
"49","common",0,0,0,15,0,0,6
"50","commonplace",0,0,0,5,0,0,1
"51","condemned",0,0,1,0,0,0,0
"52","conventional",0,0,0,2,0,0,0
"53","cookie-cutter",0,0,0,2,0,0,1
"54","cool",0,1,0,4,0,0,1
"55","copycat",0,0,0,1,0,0,0
"56","corporate",0,0,0,1,0,0,0
"57","coveted",1,0,0,0,0,0,0
"58","credible",0,0,0,0,0,1,0
"59","critical",0,0,0,0,0,2,0
"60","critiqued",0,0,2,0,0,0,0
"61","crowded",0,0,0,1,0,0,1
"62","decent",0,2,0,1,0,3,1
"63","delicious",0,4,0,0,1,0,1
"64","delightful",0,0,0,0,1,0,0
"65","derivative",0,0,0,1,0,0,0
"66","desirable",0,0,0,0,0,0,1
"67","despised",17,0,9,0,0,0,0
"68","detested",2,0,3,0,0,0,0
"69","different",0,0,0,11,0,1,0
"70","dirty",0,0,0,1,1,0,0
"71","disappointing",0,4,0,0,0,1,1
"72","disapproved",1,0,0,0,0,0,0
"73","disdained",1,0,1,0,0,0,0
"74","disguised",0,0,1,0,0,0,0
"75","disgusted",1,0,0,0,0,0,0
"76","disgusting",0,4,0,0,4,0,0
"77","dished",0,0,1,0,0,0,0
"78","disliked",59,0,13,0,1,0,0
"79","dismal",0,0,0,0,0,1,1
"80","disparaged",0,0,1,0,0,0,0
"81","disregarded",1,0,0,0,0,0,0
"82","distasteful",0,0,0,0,1,0,0
"83","distinctive",0,0,0,1,0,0,0
"84","distinguishing",0,0,0,0,0,0,1
"85","dreadful",0,1,0,0,0,0,0
"86","dreamy",0,0,0,0,0,0,1
"87","dreary",0,0,0,1,0,0,0
"88","dull",0,0,0,4,2,1,6
"89","dumb",0,0,0,1,0,0,0
"90","elite",0,0,0,0,0,1,0
"91","embraced",0,0,1,0,0,0,0
"92","endured",1,0,0,0,0,0,0
"93","enduring",0,0,0,0,0,0,1
"94","enjoy",1,0,0,0,0,0,0
"95","enjoyable",0,0,1,1,3,0,4
"96","enjoyed",15,0,46,0,0,0,0
"97","eventful",0,0,0,0,0,0,1
"98","everyday",0,0,0,2,0,0,0
"99","excellent",0,6,0,1,22,16,2
"100","exceptional",0,0,0,1,2,2,1
"101","exciting",0,0,0,0,1,0,2
"102","exemplary",0,0,0,1,0,1,0
"103","expensive",0,0,0,0,0,0,1
"104","extraordinary",0,0,0,1,0,0,2
"105","fabulous",0,5,0,1,0,0,1
"106","failing",0,0,0,0,0,1,0
"107","fair",0,4,0,0,3,3,0
"108","fantastic",0,5,0,0,5,2,0
"109","fascinating",0,0,0,1,0,0,0
"110","favored",1,0,1,0,0,0,0
"111","feared",0,0,1,0,0,0,0
"112","fine",0,4,0,1,2,0,1
"113","five-star",0,0,0,0,0,3,0
"114","forgave",1,0,0,0,0,0,0
"115","forgetful",0,0,0,0,0,0,2
"116","forgettable",0,1,0,8,0,0,53
"117","four-star",0,0,0,0,0,1,0
"118","fulfilling",0,0,0,0,0,0,1
"119","fun",1,1,0,1,0,0,1
"120","generic",0,0,0,1,0,0,0
"121","good",2,10,0,4,42,21,1
"122","grand",0,1,0,0,1,0,1
"123","gratifying",0,0,0,0,1,0,0
"124","great",0,18,0,2,46,13,6
"125","groovy",0,0,0,1,0,0,0
"126","gross",0,1,0,0,3,0,0
"127","hate",2,0,0,0,0,0,0
"128","hated",77,0,21,0,0,0,0
"129","hateful",0,0,0,0,0,1,0
"130","hatred",2,0,0,0,0,0,0
"131","haunting",0,0,0,0,0,0,1
"132","hideous",0,1,0,0,0,0,0
"133","high",0,0,0,0,0,36,0
"134","higher",0,0,0,0,0,3,0
"135","highest",0,0,0,0,0,1,0
"136","hip",0,0,0,0,0,0,1
"137","homogeneous",0,0,0,1,0,0,0
"138","hopeless",0,0,0,1,0,0,0
"139","horrendous",0,0,0,0,2,0,0
"140","horrible",0,19,0,1,13,2,2
"141","horrid",0,2,0,0,0,0,0
"142","impressive",0,0,0,1,2,1,3
"143","incomparable",0,0,0,1,0,0,0
"144","incompetent",0,0,0,0,1,0,0
"145","indifferent",0,0,0,1,0,1,0
"146","indistinct",0,0,0,1,0,0,0
"147","inefficient",0,0,0,0,0,1,0
"148","insignificant",0,1,0,1,0,0,0
"149","interesting",0,1,0,5,1,1,5
"150","intriguing",0,0,0,1,0,0,0
"151","jumping",0,0,0,0,0,0,1
"152","lacking",0,0,0,0,1,0,0
"153","lackluster",0,0,0,0,0,0,1
"154","lame",0,0,0,1,0,0,2
"155","large",0,0,0,0,0,1,0
"156","laughable",0,0,0,0,0,0,1
"157","lavished",1,0,0,0,0,0,0
"158","likable",0,0,0,0,2,0,1
"159","likeable",1,0,0,0,0,0,1
"160","liked",19,0,62,0,0,0,0
"161","lively",0,0,0,0,0,0,1
"162","loath",1,0,0,0,0,0,0
"163","loathe",1,0,1,0,0,0,0
"164","loathed",16,0,10,0,0,0,0
"165","lofty",0,0,0,0,0,1,0
"166","loud",0,0,0,1,0,0,0
"167","lousy",0,3,0,0,0,0,0
"168","lovable",0,1,0,0,0,0,0
"169","love",0,0,1,0,0,0,0
"170","loved",16,0,68,1,0,0,1
"171","lovely",0,0,0,0,4,0,0
"172","low",0,0,0,0,0,39,0
"173","lower",0,0,0,0,0,2,0
"174","lowly",0,2,0,0,0,0,0
"175","mainstream",0,0,0,1,0,0,0
"176","marvellous",0,0,0,1,0,0,0
"177","meaningful",0,0,0,0,0,0,1
"178","mediocre",0,7,0,4,1,9,8
"179","medium",0,0,0,0,0,3,0
"180","meh",0,1,0,1,0,0,0
"181","melancholy",0,0,0,0,0,0,1
"182","memorable",0,3,0,7,1,0,17
"183","mesmerizing",0,0,1,0,0,0,1
"184","middle",0,0,0,0,0,2,0
"185","miserable",0,0,0,0,1,0,0
"186","mixed",0,0,0,0,0,1,0
"187","moderate",0,0,0,0,0,5,0
"188","mundane",0,0,0,1,0,0,2
"189","negative",0,0,0,0,0,2,0
"190","neutral",0,0,0,0,0,1,0
"191","new",0,0,0,0,0,1,0
"192","nice",0,5,0,1,1,0,2
"193","nightmare",0,1,0,0,0,0,0
"194","nondescript",0,0,0,0,0,0,1
"195","normal",0,1,0,8,0,0,4
"196","nostalgic",0,0,0,0,0,0,1
"197","odd",0,0,0,1,0,0,0
"198","offensive",0,0,1,0,0,0,0
"199","ok",0,2,0,0,3,1,1
"200","okay",0,8,0,2,5,0,3
"201","okayed",2,0,0,0,0,0,0
"202","one-of-a-kind",0,0,0,1,0,0,0
"203","one-star",0,0,0,0,0,1,0
"204","ordinary",0,0,0,13,0,0,6
"205","original",0,0,0,0,0,0,1
"206","outstanding",0,1,0,1,1,4,3
"207","overrated",0,0,0,0,1,0,1
"208","panned",1,0,0,0,0,0,0
"209","passable",0,0,0,0,1,0,1
"210","passion",0,0,1,0,0,0,0
"211","pedestrian",0,0,0,1,0,0,0
"212","perfect",0,0,0,1,3,2,0
"213","pitiful",0,0,0,0,0,1,0
"214","plain",0,0,0,3,0,0,4
"215","pleasant",0,0,0,0,1,0,0
"216","pleasing",0,0,0,0,1,0,0
"217","poor",0,16,0,0,6,22,2
"218","popular",0,0,0,1,0,0,0
"219","positive",0,0,0,0,0,4,0
"220","praised",1,0,1,0,0,0,0
"221","preferred",1,0,0,0,0,0,0
"222","prestigious",0,0,0,0,0,1,0
"223","prime",0,0,0,0,1,0,0
"224","professional",0,0,0,0,1,0,0
"225","prosaic",0,0,0,1,0,0,0
"226","putrid",0,0,0,0,1,0,0
"227","real",0,0,0,1,0,0,0
"228","recommend",0,0,1,0,0,0,0
"229","red-letter",0,0,0,0,0,0,1
"230","regrettable",0,0,0,0,0,0,1
"231","regretted",1,0,0,0,0,0,0
"232","regular",0,0,0,2,0,0,0
"233","rejected",1,0,0,0,0,0,0
"234","relaxing",0,0,0,0,0,0,1
"235","relished",5,0,0,0,0,0,0
"236","remarkable",0,0,0,1,1,0,4
"237","remembered",1,0,2,0,0,0,1
"238","reopening",0,0,0,0,1,0,0
"239","repetitive",0,0,0,1,0,0,0
"240","repugnant",0,0,0,0,1,0,0
"241","repulsive",0,1,0,0,0,0,0
"242","resent",0,0,1,0,0,0,0
"243","resented",1,0,0,0,0,0,0
"244","respected",0,0,1,0,0,0,0
"245","reviled",2,0,0,0,0,0,0
"246","ridiculous",0,0,0,0,1,0,0
"247","run-of-the-mill",0,0,0,1,0,0,0
"248","sad",0,0,0,0,0,1,0
"249","same-y",0,0,0,1,0,0,0
"250","satisfying",0,1,0,0,0,0,0
"251","savored",0,0,2,0,0,0,0
"252","scathing",0,0,0,0,0,1,0
"253","settled",1,0,0,0,0,0,0
"254","shit",0,0,0,0,1,0,0
"255","shitty",0,0,0,0,0,1,0
"256","shunned",0,0,1,0,0,0,0
"257","significant",0,0,0,1,0,0,0
"258","similar",0,0,0,1,0,0,1
"259","singular",0,0,0,1,0,0,0
"260","slow",0,2,0,0,0,0,0
"261","small",0,0,0,0,0,1,0
"262","solid",0,0,0,0,0,1,0
"263","soso",0,1,0,0,1,0,0
"264","special",2,0,0,7,1,0,3
"265","spectacular",0,1,0,1,1,0,1
"266","standard",0,0,0,8,0,0,1
"267","stellar",0,0,0,0,1,2,0
"268","strong",0,0,0,0,0,1,0
"269","sublime",0,0,0,0,1,0,0
"270","subpar",0,4,0,0,0,0,0
"271","substandard",0,0,0,2,0,2,0
"272","sufficient",0,0,0,1,0,0,0
"273","superb",0,2,0,0,5,2,0
"274","superior",0,0,0,0,0,3,0
"275","superlative",0,1,0,0,1,0,0
"276","sweet",1,0,0,0,0,0,0
"277","symmetrical",0,0,0,1,0,0,0
"278","tasteful",0,1,0,0,0,0,0
"279","tasty",0,3,0,0,0,0,0
"280","terrible",0,23,0,1,8,12,2
"281","terrific",0,2,0,0,5,0,0
"282","thrilling",0,0,0,0,0,0,1
"283","tolerable",0,2,0,1,0,0,0
"284","tolerated",5,0,1,0,0,0,0
"285","top",0,0,0,0,0,1,0
"286","topnotch",0,1,0,0,0,0,0
"287","treasured",0,0,1,0,0,0,0
"288","trusted",1,0,2,1,0,0,0
"289","trustworthy",0,0,2,0,0,0,0
"290","typical",0,0,0,13,0,0,3
"291","ugly",0,2,0,0,1,0,0
"292","unbelievable",0,0,0,0,1,0,0
"293","uncool",0,0,0,0,1,0,0
"294","uneventful",0,0,0,0,0,0,1
"295","unexciting",0,0,0,0,0,0,1
"296","unforgettable",0,0,1,3,0,0,6
"297","unforgivable",0,0,0,0,0,0,1
"298","ungood",0,0,0,0,1,0,0
"299","unimaginative",0,0,0,1,0,0,0
"300","unimpressive",0,0,0,2,2,0,3
"301","uninspired",0,0,0,1,0,0,1
"302","uninspiring",0,0,0,1,0,0,0
"303","uninteresting",0,0,0,1,0,0,1
"304","unique",0,0,0,10,1,0,9
"305","unloved",1,0,0,0,0,0,0
"306","unmemorable",0,0,0,0,0,0,11
"307","unmentionable",0,0,0,1,0,0,0
"308","unnoteworthy",0,1,0,0,0,0,1
"309","unoriginal",0,0,0,1,0,0,1
"310","unparallelled",0,0,0,2,0,0,0
"311","unprofessional",0,1,0,0,0,0,0
"312","unremarkable",0,1,0,6,0,0,5
"313","unrivaled",0,0,0,1,0,0,0
"314","unsatisfactory",0,0,0,0,0,1,0
"315","unsatisfying",0,0,0,0,1,1,0
"316","unspecial",0,0,0,1,0,0,0
"317","unsure",3,0,0,0,0,0,0
"318","unsurprising",0,0,0,1,0,0,0
"319","untrustworthy",0,0,0,0,1,0,0
"320","unusual",0,1,0,2,0,0,2
"321","useless",0,1,0,0,0,0,0
"322","usual",0,0,0,5,0,0,1
"323","wanted",1,0,0,0,0,0,0
"324","weak",0,0,0,0,2,0,0
"325","weird",0,0,0,1,0,0,0
"326","woeful",0,1,0,0,0,0,0
"327","wonderful",0,4,0,0,7,1,0
"328","worst",0,0,0,0,1,0,0
"329","worthless",0,1,0,0,0,0,1
"330","worthwhile",0,0,0,0,0,0,1
"331","worthy",0,0,0,1,0,0,0
"332","wretched",0,1,0,0,1,0,0
"333","yucky",0,0,0,0,1,0,0
"334","zero",0,0,0,0,0,1,0
